STW,CHs,CHdg,CTz,windU,windV,Heading,Power,Draft,Speed,Power
7.161734,2.706655524,255.8777233,7.774700516,8.962185389,5.112011032,270.0190385,9054.678333,9.15,367.3284442,1810.935667
7.325141733,2.706635503,255.8336384,7.789752616,8.992404083,4.977118305,291.067534,8840.535,9.15,393.0502679,1768.107
7.152637842,2.703468271,255.7087086,7.813321774,9.019369981,4.787248664,270.0190432,9089.163776,9.15,365.9305835,1817.832755
7.196282607,2.702668594,255.7543246,7.833749972,9.057233096,4.550022305,270.0253909,9045.640449,9.15,372.6701694,1809.12809
7.15852732,2.701565186,255.8080963,7.857776717,9.089421889,4.282287968,270.0190432,9071.077634,9.15,366.8352491,1814.215527
7.2911056,2.699341308,255.8651128,7.877907438,9.11035312,4.033499557,270.0253909,8845.435,9.15,387.5967841,1769.087
7.023598189,2.696595367,255.9319635,7.901586755,9.123007267,3.752499234,291.0741446,9245.533962,9.15,346.4806412,1849.106792
7.114827475,2.689192874,255.9158355,7.928306927,9.113327635,3.45677153,270.0190479,9112.689394,9.15,360.1580452,1822.537879
7.279479441,2.683950559,255.979425,7.946988389,9.102960704,3.223655023,270.0253972,8901.227273,9.15,385.7455915,1780.245455
7.281246267,2.674513017,256.0530137,7.96941187,9.029608538,3.066413071,270.0253972,8903.501667,9.15,386.0265363,1780.700333
7.306366133,2.665050776,256.1226721,7.991284969,8.960042622,2.928130791,270.0190479,8857.131667,9.15,390.0356415,1771.426333
7.301307867,2.655994288,256.1867063,8.009443446,8.898261758,2.820546485,291.0807608,8849.948333,9.15,389.2261261,1769.989667
7.296935467,2.643826513,256.1593278,8.032587656,8.833191983,2.715731534,270.0254035,8855.315,9.15,388.5272787,1771.063
7.3461464,2.634465205,256.2170426,8.052569815,8.775864182,2.634125488,270.0254035,8814.521667,9.15,396.4411591,1762.904333
7.217117733,2.62509025,256.2707404,8.071979872,8.722371193,2.57132058,270.0254035,8978.418333,9.15,375.9164841,1795.683667
7.158947667,2.616557274,256.3091411,8.0866091,8.699178735,2.577870003,270.0190526,9037.997917,9.15,366.8998743,1807.599583
7.349318533,2.608942534,256.3381803,8.095598187,8.685742655,2.594169555,291.0873825,8771.415,9.15,396.9549416,1754.283
7.3137392,2.599536819,256.2685247,8.105784332,8.674775695,2.619241772,270.0254097,8855.395,9.15,391.2176225,1771.079
7.2586984,2.592356503,256.2883633,8.113863675,8.661552753,2.639117242,270.0254097,8917.293333,9.15,382.4514003,1783.458667
7.292305867,2.585424136,256.3056798,8.120741291,8.647377829,2.660788566,270.0254097,8861.711667,9.15,387.7882349,1772.342333
7.297854454,2.57874004,256.3204724,8.126417103,8.632251834,2.68425441,270.0254097,8859.261181,9.15,388.6740924,1771.852236
7.267186,2.571657081,256.3163564,8.131402226,8.573439781,2.742885369,270.0254097,8846.638333,9.15,383.7945715,1769.327667
7.341173867,2.564750565,256.3091769,8.135453427,8.516888149,2.811506071,291.0940098,8776.568333,9.15,395.6366627,1755.313667
7.394928667,2.557788612,256.2054243,8.13492684,8.475618961,2.906335621,270.025416,8706.53,9.15,404.3914522,1741.306
7.372295067,2.552709173,256.1942011,8.132529277,8.442082482,2.991849333,270.025416,8746.858333,9.15,400.6896522,1749.371667
7.479824054,2.548034218,256.1810736,8.128860025,8.419480573,3.080323607,270.025416,8615.396985,9.15,418.4794599,1723.079397
7.303593103,2.54376389,256.1660416,8.123919125,8.407814365,3.171756762,270.025416,8849.534483,9.15,389.5917122,1769.906897
7.399644,2.541535953,256.1483492,8.113498605,8.465472316,3.210148149,270.025416,8699.876667,9.15,405.1655191,1739.975333
7.474917867,2.539807635,256.1328336,8.10162379,8.531250327,3.2369648,291.1006427,8548.318333,9.15,417.6565293,1709.663667
7.425278267,2.538933143,256.0295706,8.084472738,8.620034536,3.267877637,270.0254223,8624.961667,9.15,409.3909154,1724.992333
7.4606004,2.538400304,256.0195346,8.069412628,8.702551099,3.272086761,270.0254223,8568.28,9.15,415.2611837,1713.656
7.422191867,2.540310614,256.0482219,8.051329431,8.805414318,3.268546218,270.0254223,8607.358333,9.15,408.8806238,1721.471667
7.315104441,2.54271516,256.082084,8.032266747,8.912882229,3.254611161,270.0254223,8755.963855,9.15,391.4367467,1751.192771
